#    time          strength            derivative     
   21.497514     0.0000000000e+00     0.0000000000e+00
   21.538856     0.0000000000e+00     0.0000000000e+00
   21.580197     0.0000000000e+00     0.0000000000e+00
   21.621538     0.0000000000e+00     0.0000000000e+00
   21.662880     0.0000000000e+00     0.0000000000e+00
   21.704221     0.0000000000e+00     0.0000000000e+00
   21.745562     0.0000000000e+00     0.0000000000e+00
   21.786904     0.0000000000e+00     0.0000000000e+00
   21.828245     0.0000000000e+00     0.0000000000e+00
   21.869586     0.0000000000e+00     0.0000000000e+00
   21.910928     0.0000000000e+00     0.0000000000e+00
   21.952269     0.0000000000e+00     0.0000000000e+00
   21.993611     0.0000000000e+00     0.0000000000e+00
   22.034952     0.0000000000e+00     0.0000000000e+00
   22.076293     0.0000000000e+00     0.0000000000e+00
